n,G_score,pred,truth
2,0.0,PRIME?,PRIME
3,0.0,PRIME?,PRIME
4,1.8358300027522023,COMPOSITE,COMPOSITE
5,8.419602706904364e-223,PRIME?,PRIME
6,1.8358300027522023,COMPOSITE,COMPOSITE
7,6.695783611676962e-114,PRIME?,PRIME
8,1.8358300027522023,COMPOSITE,COMPOSITE
9,1.8358300027522023,COMPOSITE,COMPOSITE
10,1.8358300027522023,COMPOSITE,COMPOSITE
11,2.1189338975324897e-46,PRIME?,PRIME
12,1.8358300027522023,COMPOSITE,COMPOSITE
13,2.3632831980268707e-33,PRIME?,PRIME
14,1.8358300027522023,COMPOSITE,COMPOSITE
15,1.8358300027522023,COMPOSITE,COMPOSITE
16,1.8358300027522023,COMPOSITE,COMPOSITE
17,1.0724935084615228e-19,PRIME?,PRIME
18,1.8358300027522023,COMPOSITE,COMPOSITE
19,7.352356995831512e-16,PRIME?,PRIME
20,1.8358300027522023,COMPOSITE,COMPOSITE
21,1.8358300027522023,COMPOSITE,COMPOSITE
22,1.8358300027522023,COMPOSITE,COMPOSITE
23,5.706107953658981e-11,PRIME?,PRIME
24,1.8358300027522023,COMPOSITE,COMPOSITE
25,1.8358300027522023,COMPOSITE,COMPOSITE
26,1.8358300027522023,COMPOSITE,COMPOSITE
27,1.8358300027522023,COMPOSITE,COMPOSITE
28,1.8358300027522023,COMPOSITE,COMPOSITE
29,4.513175887294998e-07,PRIME?,PRIME
30,1.8358300027522023,COMPOSITE,COMPOSITE
31,3.018501094786509e-06,PRIME?,PRIME
32,1.8358300027522023,COMPOSITE,COMPOSITE
33,1.8358300027522023,COMPOSITE,COMPOSITE
34,1.8358300027522023,COMPOSITE,COMPOSITE
35,1.8358300027522023,COMPOSITE,COMPOSITE
36,1.8358300027522023,COMPOSITE,COMPOSITE
37,0.00015980712688523256,PRIME?,PRIME
38,1.8358300027522023,COMPOSITE,COMPOSITE
39,1.8358300027522023,COMPOSITE,COMPOSITE
40,1.8358300027522023,COMPOSITE,COMPOSITE
41,0.0009061319897408935,PRIME?,PRIME
42,1.8358300027522023,COMPOSITE,COMPOSITE
43,0.0018098084590206281,PRIME?,PRIME
44,1.8358300027522023,COMPOSITE,COMPOSITE
45,1.8358300027522023,COMPOSITE,COMPOSITE
46,1.8358300027522023,COMPOSITE,COMPOSITE
47,0.005591804893115382,PRIME?,PRIME
48,1.8358300027522023,COMPOSITE,COMPOSITE
49,1.8358300027522023,COMPOSITE,COMPOSITE
50,1.8358300027522023,COMPOSITE,COMPOSITE
