n,k,digits,N,a_base
8,195,5,49921,2843
8,141,5,36097,9727
8,1,3,257,91
8,55,5,14081,6801
8,193,5,49409,42586
8,163,5,41729,11987
8,225,5,57601,28843
8,147,5,37633,36799
8,225,5,57601,32339
8,163,5,41729,7927
8,1,3,257,45
8,55,5,14081,9574
8,141,5,36097,8014
8,193,5,49409,36341
8,1,3,257,252
8,1,3,257,101
8,55,5,14081,3724
8,147,5,37633,4670
8,55,5,14081,9293
8,121,5,30977,25107
8,141,5,36097,4190
8,163,5,41729,5788
8,171,5,43777,37491
8,225,5,57601,38259
8,3,3,769,7
8,13,4,3329,838
8,3,3,769,117
8,141,5,36097,23666
8,123,5,31489,30214
8,195,5,49921,46471
8,225,5,57601,2453
8,195,5,49921,2055
8,171,5,43777,41271
8,195,5,49921,16197
8,123,5,31489,16973
8,157,5,40193,27329
8,57,5,14593,2608
8,87,5,22273,12970
8,157,5,40193,16888
8,225,5,57601,51927
8,193,5,49409,13411
8,225,5,57601,46578
8,123,5,31489,22413
8,91,5,23297,23024
8,123,5,31489,20772
8,123,5,31489,18063
8,1,3,257,151
8,225,5,57601,13953
8,31,4,7937,4739
8,31,4,7937,6
8,171,5,43777,28011
8,31,4,7937,2891
8,225,5,57601,56784
8,193,5,49409,7452
8,147,5,37633,13268
8,87,5,22273,8736
8,147,5,37633,19751
8,3,3,769,29
8,193,5,49409,13852
8,55,5,14081,5558
8,235,5,60161,32315
8,141,5,36097,5236
8,163,5,41729,35413
8,57,5,14593,186
8,123,5,31489,28677
8,163,5,41729,23909
9,261,6,133633,15395
9,165,5,84481,36681
9,35,5,17921,9682
9,15,4,7681,6109
9,231,6,118273,80865
9,189,5,96769,64749
9,89,5,45569,42131
9,51,5,26113,12885
9,303,6,155137,19165
9,423,6,216577,130844
9,509,6,260609,72286
9,333,6,170497,110434
9,149,5,76289,58386
9,71,5,36353,17747
9,491,6,251393,203550
9,303,6,155137,1774
9,165,5,84481,30518
9,189,5,96769,12148
9,35,5,17921,4811
9,21,5,10753,8075
9,23,5,11777,6485
9,281,6,143873,48646
9,299,6,153089,136895
9,63,5,32257,28948
9,345,6,176641,7908
9,315,6,161281,55994
9,281,6,143873,23154
9,89,5,45569,21509
9,359,6,183809,59855
9,45,5,23041,8513
9,101,5,51713,11170
9,359,6,183809,75409
9,15,4,7681,541
9,281,6,143873,5240
9,281,6,143873,91346
9,51,5,26113,18968
9,315,6,161281,123013
9,189,5,96769,6617
9,159,5,81409,15105
9,89,5,45569,14337
9,21,5,10753,9452
9,23,5,11777,7637
9,23,5,11777,1279
9,189,5,96769,95321
9,233,6,119297,99346
9,231,6,118273,66191
9,89,5,45569,7250
9,431,6,220673,20486
9,35,5,17921,3564
9,465,6,238081,2989
9,311,6,159233,38763
9,189,5,96769,94654
9,35,5,17921,808
9,225,6,115201,33852
9,171,5,87553,35775
9,329,6,168449,100868
9,345,6,176641,23685
9,71,5,36353,4364
9,303,6,155137,58590
9,63,5,32257,17651
9,201,6,102913,60220
9,221,6,113153,57549
9,101,5,51713,34614
9,329,6,168449,22013
9,221,6,113153,15848
9,71,5,36353,9123
9,333,6,170497,28238
9,219,6,112129,15492
9,201,6,102913,66659
9,15,4,7681,4815
9,45,5,23041,5772
9,71,5,36353,20428
9,333,6,170497,64392
9,303,6,155137,10058
9,429,6,219649,206757
9,309,6,158209,25814
9,359,6,183809,181607
9,149,5,76289,49157
9,201,6,102913,40845
9,359,6,183809,57756
9,423,6,216577,164468
10,303,6,310273,103323
10,907,6,928769,256682
10,909,6,930817,860334
10,75,5,76801,4526
10,627,6,642049,92565
10,687,6,703489,137794
10,19,5,19457,9171
10,319,6,326657,25056
10,99,6,101377,75231
10,273,6,279553,118988
10,357,6,365569,97066
10,795,6,814081,487706
10,183,6,187393,128863
10,279,6,285697,31609
10,765,6,783361,612155
10,349,6,357377,328038
10,957,6,979969,923229
10,777,6,795649,730760
10,579,6,592897,295995
10,559,6,572417,181782
10,859,6,879617,146797
10,135,6,138241,46025
10,135,6,138241,114172
10,25,5,25601,2942
10,313,6,320513,13844
10,643,6,658433,36845
10,357,6,365569,103977
10,603,6,617473,286993
10,453,6,463873,84846
10,357,6,365569,311071
10,643,6,658433,126065
10,553,6,566273,175249
10,85,5,87041,79377
10,883,6,904193,672472
10,337,6,345089,215361
10,859,6,879617,779236
10,603,6,617473,420449
10,279,6,285697,78660
10,415,6,424961,333826
10,777,6,795649,300502
10,289,6,295937,178406
10,133,6,136193,54003
10,319,6,326657,197561
10,69,5,70657,29764
10,85,5,87041,20448
10,669,6,685057,483121
10,487,6,498689,146517
10,699,6,715777,459023
10,37,5,37889,22586
10,133,6,136193,102512
10,897,6,918529,530998
10,765,6,783361,142809
10,627,6,642049,150600
10,279,6,285697,144912
10,855,6,875521,56329
10,235,6,240641,73942
10,313,6,320513,122161
10,375,6,384001,147033
11,1227,7,2512897,112329
11,641,7,1312769,896234
11,1505,7,3082241,775018
11,899,7,1841153,1688218
11,729,7,1492993,376909
11,1775,7,3635201,1811455
11,1635,7,3348481,3052317
11,1775,7,3635201,2917355
11,1469,7,3008513,705777
11,755,7,1546241,832889
11,407,6,833537,9983
11,1817,7,3721217,2383536
11,1955,7,4003841,926963
11,785,7,1607681,175240
11,1647,7,3373057,753797
11,407,6,833537,611540
11,1757,7,3598337,909992
11,657,7,1345537,797075
11,729,7,1492993,21914
11,65,6,133121,2031
11,1179,7,2414593,2311358
11,395,6,808961,629466
11,1469,7,3008513,1273537
11,1709,7,3500033,863722
11,525,7,1075201,643961
11,1581,7,3237889,1655011
11,669,7,1370113,1084629
11,1385,7,2836481,16725
11,1901,7,3893249,1865794
11,729,7,1492993,767042
11,1737,7,3557377,3386698
11,611,7,1251329,647828
11,1737,7,3557377,2603900
11,521,7,1067009,38167
11,147,6,301057,268038
11,1361,7,2787329,2452639
11,1427,7,2922497,2247089
11,1917,7,3926017,2222662
11,1757,7,3598337,2019581
11,1709,7,3500033,2818829
11,939,7,1923073,676988
11,329,6,673793,609703
11,645,7,1320961,483769
11,227,6,464897,375088
11,329,6,673793,70431
11,1877,7,3844097,1652132
11,407,6,833537,689855
11,1635,7,3348481,2656800
11,987,7,2021377,1334646
11,1227,7,2512897,1518101
11,1469,7,3008513,798968
11,539,7,1103873,1065751
11,591,7,1210369,991449
11,41,5,83969,81531
11,729,7,1492993,892954
11,1667,7,3414017,724214
11,1995,7,4085761,2584362
12,165,6,675841,366167
12,1027,7,4206593,4016317
12,2371,7,9711617,2649623
12,2647,8,10842113,3036347
12,1891,7,7745537,5625103
12,975,7,3993601,3573671
12,3577,8,14651393,12179718
12,963,7,3944449,988734
12,2161,7,8851457,3109333
12,1453,7,5951489,668935
12,3057,8,12521473,11540659
