N,K,r,beta,thresh,accuracy,precision_comp,recall_comp,TP,FP,TN,FN
2000,-1.2,0.8,150.0,0.3,0.8574287143571786,0.8561332660272589,1.0,1696,285,18,0
2000,-1.2,0.8,150.0,0.4,0.8579289644822411,0.8565656565656565,1.0,1696,284,19,0
2000,-1.2,0.8,150.0,0.5,0.8589294647323662,0.8574317492416582,1.0,1696,282,21,0
2000,-1.2,0.8,150.0,0.6,0.8594297148574287,0.8578654527061204,1.0,1696,281,22,0
2000,-1.2,0.8,250.0,0.3,0.8599299649824912,0.8582995951417004,1.0,1696,280,23,0
2000,-1.2,0.8,250.0,0.4,0.8604302151075538,0.8587341772151899,1.0,1696,279,24,0
2000,-1.2,0.8,250.0,0.5,0.8609304652326163,0.8591691995947315,1.0,1696,278,25,0
2000,-1.2,0.8,250.0,0.6,0.8619309654827414,0.8600405679513184,1.0,1696,276,27,0
2000,-1.2,0.8,400.0,0.3,0.8619309654827414,0.8600405679513184,1.0,1696,276,27,0
2000,-1.2,0.8,400.0,0.4,0.863431715857929,0.8613509395632301,1.0,1696,273,30,0
2000,-1.2,0.8,400.0,0.5,0.863431715857929,0.8613509395632301,1.0,1696,273,30,0
2000,-1.2,0.8,400.0,0.6,0.864432216108054,0.8622267412303,1.0,1696,271,32,0
2000,-1.2,1.0,150.0,0.3,0.8579289644822411,0.8565656565656565,1.0,1696,284,19,0
2000,-1.2,1.0,150.0,0.4,0.8589294647323662,0.8574317492416582,1.0,1696,282,21,0
2000,-1.2,1.0,150.0,0.5,0.8594297148574287,0.8578654527061204,1.0,1696,281,22,0
2000,-1.2,1.0,150.0,0.6,0.8599299649824912,0.8582995951417004,1.0,1696,280,23,0
2000,-1.2,1.0,250.0,0.3,0.8604302151075538,0.8587341772151899,1.0,1696,279,24,0
2000,-1.2,1.0,250.0,0.4,0.8609304652326163,0.8591691995947315,1.0,1696,278,25,0
2000,-1.2,1.0,250.0,0.5,0.8619309654827414,0.8600405679513184,1.0,1696,276,27,0
2000,-1.2,1.0,250.0,0.6,0.863431715857929,0.8613509395632301,1.0,1696,273,30,0
2000,-1.2,1.0,400.0,0.3,0.863431715857929,0.8613509395632301,1.0,1696,273,30,0
2000,-1.2,1.0,400.0,0.4,0.863431715857929,0.8613509395632301,1.0,1696,273,30,0
2000,-1.2,1.0,400.0,0.5,0.864432216108054,0.8622267412303,1.0,1696,271,32,0
2000,-1.2,1.0,400.0,0.6,0.8654327163581791,0.8631043256997456,1.0,1696,269,34,0
2000,-1.2,1.2,150.0,0.3,0.8589294647323662,0.8574317492416582,1.0,1696,282,21,0
2000,-1.2,1.2,150.0,0.4,0.8594297148574287,0.8578654527061204,1.0,1696,281,22,0
2000,-1.2,1.2,150.0,0.5,0.8599299649824912,0.8582995951417004,1.0,1696,280,23,0
2000,-1.2,1.2,150.0,0.6,0.8604302151075538,0.8587341772151899,1.0,1696,279,24,0
